Iterations,Avg_StackingTime, Manpower, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,,
204.00 ,101.12 ,326.00 ,138.00 ,29.08 ,49.50 ,22.54 ,0.20 ,
205.00 ,123.33 ,323.00 ,139.00 ,29.22 ,66.54 ,27.58 ,0.39 ,
206.00 ,108.78 ,329.00 ,138.00 ,28.67 ,57.04 ,23.07 ,0.73 ,
207.00 ,108.50 ,327.00 ,138.00 ,28.95 ,58.31 ,21.24 ,0.24 ,
208.00 ,99.71 ,328.00 ,139.00 ,29.13 ,50.38 ,20.20 ,0.42 ,
209.00 ,136.61 ,326.00 ,137.00 ,30.62 ,57.65 ,48.34 ,0.66 ,
210.00 ,156.18 ,326.00 ,138.00 ,30.63 ,58.37 ,67.18 ,0.19 ,
211.00 ,115.09 ,327.00 ,138.00 ,29.61 ,63.95 ,21.52 ,0.80 ,
212.00 ,114.81 ,325.00 ,138.00 ,29.38 ,68.73 ,16.69 ,0.27 ,
213.00 ,117.23 ,324.00 ,138.00 ,30.16 ,68.08 ,18.99 ,0.51 ,
214.00 ,119.30 ,324.00 ,137.00 ,30.13 ,68.83 ,20.34 ,0.40 ,
215.00 ,107.25 ,324.00 ,137.00 ,29.88 ,58.10 ,19.27 ,0.30 ,
216.00 ,105.37 ,324.00 ,138.00 ,29.44 ,57.32 ,18.61 ,0.39 ,
217.00 ,103.39 ,322.00 ,137.00 ,30.11 ,54.18 ,19.10 ,0.42 ,
218.00 ,167.29 ,325.00 ,137.00 ,29.23 ,73.24 ,64.82 ,0.41 ,
219.00 ,110.05 ,321.00 ,138.00 ,29.81 ,58.91 ,21.33 ,0.90 ,
220.00 ,150.82 ,323.00 ,139.00 ,29.74 ,57.15 ,63.92 ,0.25 ,
221.00 ,111.94 ,324.00 ,138.00 ,29.60 ,62.80 ,19.54 ,0.99 ,
222.00 ,153.63 ,319.00 ,138.00 ,28.80 ,60.93 ,63.91 ,0.98 ,
223.00 ,108.61 ,320.00 ,140.00 ,28.85 ,55.91 ,23.85 ,0.81 ,
224.00 ,114.53 ,320.00 ,141.00 ,28.81 ,62.42 ,23.29 ,0.10 ,
225.00 ,109.51 ,321.00 ,140.00 ,28.42 ,64.33 ,16.77 ,0.41 ,
226.00 ,109.31 ,318.00 ,139.00 ,28.71 ,59.50 ,21.09 ,0.75 ,
227.00 ,115.29 ,321.00 ,140.00 ,29.41 ,66.70 ,19.19 ,0.99 ,
228.00 ,104.13 ,315.00 ,137.00 ,28.41 ,53.94 ,21.77 ,0.93 ,
229.00 ,115.57 ,314.00 ,137.00 ,28.37 ,66.02 ,21.19 ,0.48 ,
230.00 ,114.45 ,314.00 ,134.00 ,28.73 ,63.09 ,22.63 ,0.34 ,
231.00 ,158.12 ,314.00 ,133.00 ,28.36 ,65.66 ,64.10 ,0.75 ,
232.00 ,105.17 ,314.00 ,132.00 ,28.37 ,54.26 ,22.55 ,0.61 ,
233.00 ,156.54 ,317.00 ,134.00 ,28.19 ,67.99 ,60.36 ,0.31 ,
234.00 ,115.54 ,315.00 ,134.00 ,28.38 ,65.38 ,21.77 ,0.39 ,
235.00 ,133.83 ,316.00 ,134.00 ,28.72 ,63.43 ,41.68 ,0.73 ,
236.00 ,114.28 ,317.00 ,134.00 ,28.74 ,66.26 ,19.29 ,0.47 ,
