Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,, Manpower
5528,134.63,87,37,47,46,34.08,70.07,30.49,0.61,171
5529,136.73,87,37,47,46,34.07,72.61,30.04,0.22,171
5530,118.85,87,37,47,46,34.06,61.95,22.85,0.39,171
5531,150.43,87,37,47,46,33.98,61.18,55.27,0.13,171
5532,141.52,88,37,47,46,34.1,52.55,54.86,0.5,172
5533,122.34,88,37,47,46,33.98,64.02,24.34,0.31,172
5534,158.5,87,37,47,46,34.01,53.8,70.69,0.18,171
5535,134.83,87,38,46,46,34.06,76.03,24.74,0.39,171
5536,116.31,87,38,46,46,34.14,61.4,20.77,0.23,171
5537,165,87,37,47,45,34.06,75.63,55.3,0.46,171
5538,161.91,87,37,46,46,33.96,59.63,68.31,0.23,170
5539,142.46,86,38,46,46,34.08,71.05,37.33,0.37,170
5540,116.72,88,38,47,46,33.98,61.14,21.61,0.42,173
5541,130.39,88,38,47,46,34.09,73.11,23.2,0.37,173
5542,136.83,88,38,47,46,34.03,79.84,22.96,0.37,173
5543,131.59,88,38,47,46,33.82,76.21,21.56,0.53,173
5544,116.02,88,38,47,46,33.63,62.18,20.21,0.43,173
5545,110.84,87,38,46,46,33.48,54.01,23.35,0.3,171
5546,122.8,87,38,46,46,33.79,65.52,23.49,0.32,171
5547,118.34,87,38,47,46,33.62,65.13,19.59,0.49,172
5548,117.21,87,38,47,46,33.64,61.88,21.69,0.29,172
5549,112.14,87,38,47,45,33.66,52.66,25.82,0.35,172
5550,118.67,86,38,46,45,34.06,58.68,25.93,0.66,170
5551,127.04,88,38,46,46,33.61,68.08,25.35,0.36,172
5552,125.61,87,38,46,45,34.1,66.48,25.03,0.44,171
5553,130.02,87,38,47,45,33.7,72.8,23.52,0.51,172
5554,160.49,86,38,47,45,33.78,54.75,71.96,0.28,171
5555,139.81,87,37,46,46,33.68,79.8,26.32,0.44,170
5556,131.22,88,37,47,46,33.63,72.43,25.17,0.49,172
5557,124.72,88,37,46,45,33.52,67.36,23.83,0.38,171
5558,132.13,87,38,47,46,33.65,73.72,24.76,0.45,172
5559,110.96,87,37,47,46,33.66,49.96,27.33,0.32,171
5560,128.66,87,37,47,46,33.99,71.52,23.15,0.46,171
5561,158.63,87,38,47,46,34.02,72.78,51.84,0.29,172
5562,146.33,87,38,46,46,33.61,55.85,56.87,0.36,171
5563,118.02,87,38,46,46,33.62,62.79,21.6,0.38,171
5564,169.26,86,38,46,46,33.64,71.63,63.98,0.31,170
5565,156.19,87,38,47,45,33.68,66.09,56.41,0.82,172
5566,111.91,87,38,47,45,34.03,58.61,19.26,0.68,172
5567,120.44,87,37,46,45,33.81,61.24,25.38,0.51,170
