Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,,
194.00 ,152.67 ,310.00 ,117.00 ,121.00 ,191.00 ,28.09 ,66.33 ,58.25 ,0.52 ,
195.00 ,108.11 ,311.00 ,116.00 ,121.00 ,191.00 ,28.10 ,58.79 ,21.22 ,0.13 ,
196.00 ,112.10 ,311.00 ,117.00 ,121.00 ,190.00 ,28.10 ,63.45 ,20.55 ,0.24 ,
197.00 ,157.09 ,314.00 ,118.00 ,121.00 ,192.00 ,28.38 ,74.87 ,53.83 ,0.39 ,
198.00 ,109.25 ,312.00 ,119.00 ,119.00 ,191.00 ,28.37 ,59.76 ,21.12 ,0.46 ,
199.00 ,115.64 ,314.00 ,118.00 ,119.00 ,191.00 ,28.12 ,67.26 ,20.26 ,0.14 ,
200.00 ,102.69 ,311.00 ,117.00 ,119.00 ,190.00 ,28.38 ,54.22 ,20.10 ,0.27 ,
201.00 ,159.39 ,309.00 ,116.00 ,120.00 ,190.00 ,28.35 ,67.13 ,63.91 ,0.35 ,
202.00 ,130.08 ,311.00 ,116.00 ,120.00 ,188.00 ,28.37 ,52.96 ,48.75 ,0.44 ,
203.00 ,114.96 ,312.00 ,118.00 ,120.00 ,188.00 ,28.36 ,61.74 ,24.86 ,0.34 ,
204.00 ,110.76 ,313.00 ,117.00 ,120.00 ,188.00 ,28.39 ,61.59 ,20.78 ,0.25 ,
205.00 ,156.65 ,313.00 ,118.00 ,120.00 ,189.00 ,28.41 ,60.35 ,67.89 ,0.20 ,
206.00 ,150.97 ,312.00 ,118.00 ,121.00 ,189.00 ,28.40 ,53.75 ,68.82 ,0.46 ,
207.00 ,135.83 ,312.00 ,118.00 ,119.00 ,190.00 ,28.45 ,53.70 ,53.69 ,0.42 ,
208.00 ,113.43 ,310.00 ,117.00 ,119.00 ,189.00 ,28.40 ,67.37 ,17.65 ,0.54 ,
209.00 ,111.90 ,310.00 ,117.00 ,120.00 ,189.00 ,28.38 ,44.08 ,39.44 ,0.21 ,
210.00 ,103.18 ,308.00 ,117.00 ,118.00 ,187.00 ,28.41 ,53.22 ,21.55 ,0.36 ,
211.00 ,105.24 ,310.00 ,116.00 ,119.00 ,189.00 ,28.42 ,54.27 ,22.54 ,0.36 ,
212.00 ,131.92 ,310.00 ,116.00 ,119.00 ,188.00 ,28.38 ,50.35 ,53.19 ,0.08 ,
213.00 ,111.46 ,311.00 ,116.00 ,119.00 ,188.00 ,28.38 ,55.74 ,27.34 ,0.15 ,
214.00 ,133.36 ,310.00 ,116.00 ,119.00 ,189.00 ,28.39 ,53.38 ,51.59 ,0.43 ,
215.00 ,103.04 ,308.00 ,117.00 ,119.00 ,189.00 ,28.21 ,57.40 ,17.42 ,0.29 ,
216.00 ,110.50 ,311.00 ,117.00 ,119.00 ,190.00 ,28.41 ,61.56 ,20.53 ,0.30 ,
217.00 ,109.43 ,311.00 ,115.00 ,119.00 ,189.00 ,28.23 ,57.96 ,23.24 ,0.43 ,
218.00 ,149.76 ,309.00 ,116.00 ,120.00 ,190.00 ,28.22 ,56.87 ,64.67 ,0.47 ,
219.00 ,119.22 ,311.00 ,116.00 ,119.00 ,189.00 ,28.09 ,65.62 ,25.51 ,0.27 ,
